
World Rank                   ,  Institution                   ,  Country                    
421-430  ,   Goldsmiths College - University of London   , UK    
421-430  ,   University of Connecticut   , USA    
421-430  ,   Iowa State University   , USA    
431-440  ,   Beihang University   , China    
431-440  ,   Pontificia Universidad Javeriana   , Colombia    
431-440  ,   Polytechnic University of Valencia   , Spain    
431-440  ,   Sharif University of Technology   , Iran    
431-440  ,   University of Pisa   , Italy    
431-440  ,   Hankuk University of Foreign Studies   , South Korea    
431-440  ,   Jagiellonian University   , Poland    
431-440  ,   Singapore Management University   , Singapore    
431-440  ,   Florida State University   , USA    
431-440  ,   University of Georgia   , USA    
431-440  ,   Taras Shevchenko National University of Kyiv   , Ukraine    
441-450  ,   Universidad de Palermo   , Argentina    
441-450  ,   American University of Sharjah   , United Arab Emirates    
441-450  ,   Swinburne University of Technology   , Australia    
441-450  ,   Huazhong University of Science and Technology   , China    
441-450  ,   University of Bremen   , Germany    
441-450  ,   University of Trento   , Italy    
441-450  ,   Dongguk University   , South Korea    
441-450  ,   Auckland University of Technology   , New Zealand    
441-450  ,   Sabanci University   , Turkey    
441-450  ,   Chang Gung University   , Taiwan    
441-450  ,   University of Maryland Baltimore County   , USA    
451-460  ,   York University   , Canada    
451-460  ,   Shanghai University   , China    
451-460  ,   Xiamen University   , China    
451-460  ,   University of Bochum   , Germany    
451-460  ,   University of Florence   , Italy    
451-460  ,   Pusan National University   , South Korea    
451-460  ,   Sultan Qaboos University   , Oman    
451-460  ,   University of Coimbra   , Portugal    
451-460  ,   Koc University   , Turkey    
451-460  ,   Oregon State University   , USA    
461-470  ,   University of Graz   , Austria    
461-470  ,   Bond University   , Australia    
461-470  ,   Arabian Gulf University   , Bahrain    
461-470  ,   Federal University of Rio Grande do Sul   , Brazil    
461-470  ,   Concordia University   , Canada    
461-470  ,   University Paul Sabatier - Toulouse III   , France    
461-470  ,   Wayne State University   , USA    
461-470  ,   University of New Mexico   , USA    
461-470  ,   University of Oklahoma   , USA    
461-470  ,   University of Tennessee - Knoxville   , USA    
471-480  ,   University of Saskatchewan   , Canada    
471-480  ,   University of Santiago de Chile   , Chile    
471-480  ,   East China University of Science and Technology   , China    
471-480  ,   University of Costa Rica   , Costa Rica    
471-480  ,   Technical University of Braunschweig   , Germany    
471-480  ,   Tokyo Metropolitan University   , Japan    
471-480  ,   Bogazici University   , Turkey    
471-480  ,   Middle East Technical University   , Turkey    
471-480  ,   Clark University   , USA    
481-490  ,   Dalian University of Technology   , China    
481-490  ,   Tianjin University   , China    
481-490  ,   University of Zaragoza   , Spain    
481-490  ,   Indian Institute of Technology - Guwahati   , India    
481-490  ,   University of Naples Federico II   , Italy    
481-490  ,   University of Rome - Tor Vergata   , Italy    
481-490  ,   Hitotsubashi University   , Japan    
481-490  ,   Vilnius University   , Lithuania    
481-490  ,   Pontifical Catholic University of Per�   , Peru    
481-490  ,   Lehigh University   , USA    
491-500  ,   Jilin University   , China    
491-500  ,   Aristotle University of Thessaloniki   , Greece    
491-500  ,   Iran University of Science and Technology Tehran   , Iran    
491-500  ,   Catholic University of the Sacred Heart   , Italy    
491-500  ,   Yokohama City University   , Japan    
491-500  ,   Catholic University of Korea   , South Korea    
491-500  ,   Aberystwyth University   , UK    
491-500  ,   University of South Florida   , USA    
491-500  ,   University of Nebraska - Lincoln   , USA    
491-500  ,   Saint Joseph University of Beirut   , Lebanon    
501-550  ,   Buenos Aires Institute of Technology   , Argentina    
501-550  ,   University of San Andres   , Argentina    
501-550  ,   Murdoch University   , Australia    
501-550  ,   University of Mons-Hainaut   , Belgium    
501-550  ,   Pontif�cia Universidade Cat�lica de S�o Paulo   , Brazil    
501-550  ,   Pontifical Catholic University of Rio de Janeiro   , Brazil    
501-550  ,   Sao Paulo State University   , Brazil    
501-550  ,   Federal University of Sao Paulo   , Brazil    
501-550  ,   University of Guelph   , Canada    
501-550  ,   University of Manitoba   , Canada    
501-550  ,   University of Quebec   , Canada    
501-550  ,   Shandong University   , China    
501-550  ,   Southeast University   , China    
501-550  ,   Czech Technical University of Prague   , Czech Republic    
501-550  ,   University of Halle-Wittenberg   , Germany    
501-550  ,   University of Bayreuth   , Germany    
501-550  ,   University of Leipzig   , Germany    
501-550  ,   University of Regensburg   , Germany    
501-550  ,   Saarland University   , Germany    
501-550  ,   University of Granada   , Spain    
501-550  ,   Abo Akademi University   , Finland    
501-550  ,   University of Tampere   , Finland    
501-550  ,   University Claude Bernard - Lyon I   , France    
501-550  ,   University Lille I   , France    
501-550  ,   University of Szeged   , Hungary    
501-550  ,   Gadjah Mada University   , Indonesia    
501-550  ,   University of Limerick   , Ireland    
501-550  ,   University of Delhi   , India    
501-550  ,   Nagasaki University   , Japan    
501-550  ,   Okayama University   , Japan    
501-550  ,   Chonbuk National University   , South Korea    
501-550  ,   Sejong University   , South Korea    
501-550  ,   University of Macau   , Macau    
501-550  ,   Ateneo de Manila University   , Philippines    
501-550  ,   National University of Sciences and Technology - Islamabad   , Pakistan    
501-550  ,   Umm Al-Qura University   , Saudi Arabia    
501-550  ,   National Chung Hsing University - Taipei   , Taiwan    
501-550  ,   Kingston University   , UK    
501-550  ,   University of Kentucky   , USA    
501-550  ,   Tulane University   , USA    
501-550  ,   Michigan Technological University   , USA    
501-550  ,   City University of New York   , USA    
501-550  ,   Drexel University   , USA    
501-550  ,   University of Bordeaux   , France    
501-550  ,   Amirkabir University of Technology   , Iran    
501-550  ,   King Khalid University   , Saudi Arabia    
501-550  ,   Kazan Federal University    , Russia    
501-550  ,   Missouri University of Science and Technology   , USA    
501-550  ,   Kazakh National Pedagogical University   , Kazakhstan    
551-600  ,   National University de La Plata   , Argentina    
551-600  ,   American University in Dubai   , United Arab Emirates    
551-600  ,   University of Linz   , Austria    
551-600  ,   Charles Darwin University   , Australia    
551-600  ,   Flinders University   , Australia    
551-600  ,   University of Canberra   , Australia    
551-600  ,   University of Western Sydney   , Australia    
551-600  ,   Federal University of Minas Gerais   , Brazil    
551-600  ,   Carleton University   , Canada    
551-600  ,   East China Normal University   , China    
551-600  ,   Lanzhou University   , China    
551-600  ,   Sichuan University   , China    
551-600  ,   South China University of Technology   , China    
551-600  ,   University of Science and Technology Beijing   , China    
551-600  ,   University of Marburg   , Germany    
551-600  ,   Cairo University   , Egypt    
551-600  ,   Technical University of Madrid   , Spain    
551-600  ,   University of Santiago de Compostela   , Spain    
551-600  ,   University of Valencia   , Spain    
551-600  ,   University of Tehran   , Iran    
551-600  ,   University of Pavia   , Italy    
551-600  ,   University of Turin   , Italy    
551-600  ,   Jordan University   , Jordan    
551-600  ,   Chiba University   , Japan    
551-600  ,   Kagoshima University   , Japan    
